Username,ID,SurveyDate,Level,Wins,Title,Effect,Pet,Death,GearEquipped,VIP
Ivy_ISTJ,3440996583,2024/07/29,77,5999,y,,,,The Claw,"Earth Horn"
ComediesTragedy,410244217,2024/10/26,77,5999,y,Vibrant,,,Mined,"Winsome Wizard Wand | Annoying Elf | Carnagecopia | Megagavel | Earth Horn | The Celebrator | Eggstaff | Confetti Cannon | Soul Lantern"
dinosaurgirl_XD,883995661,2024/10/28,77,5998,n,,Yellow sparkles,Gentleman Octopus,Skeletonize,"Soul Lantern"
Melu15xd,1286691102,2025/01/06,77,5996,n,Stranger,Feeling Down,Pink Eye,The Claw,"Shark Launcher | Squid Launcher | Roboarm | NoobTube | Eggstaff | Clown Bomb | Staff of Neverending Frost | Stop Hitting Yourself | Jingle Bells | Giant Ninja Star"
MashaZoom_Youtub,1076777415,2024/10/11,77,5995,n,barcode,Red Divergent,Korblox Bird,Skeletonize,"Neon Laser Launcher | Shark Launcher | Otherworldly Sceptre | Pumpkin Bucket | Pest Hammer | Skele-tar"
12Joshh,392915671,2024/09/29,77,5994,y,,,Carol the Crab,Shark Attack,"Laser Finger Pointers | Annoying Elf | Alpaca Plushie | Carnagecopia | Ink Launcher | Sign: This Is Epic | Ham Bone | Christmas Tree Launcher | Spray Paint | TOMATOES! | AFK Sign | Bacon Frying Pan | Selfie Stick | The Fiery Sun | Mega Mallet"
7klxvy,1640350011,2024/04/24,77,5993,y,.,Steam Ring,,,"Stop Hitting Yourself | Disguise Watch | Monster Mash | Halloween Sparkler | Metal Guitar"
popcorn4life321,414366184,2025/02/05,77,5992,n,shrugface,Bubbles,Blue Soul,Firecracker,"Clown Gun | Boba Tea | Pink Coconut Drink | Beach Gun | The Celebrator | Party Blaster Paint Gun | Alpaca Plushie | Pumpkin Gun | Skull Gun | Snowman Gun | Chepi the Mushroom Cat"
1ostSxul,1411412784,2024/08/22,77,5992,y,,Red Divergent,,Comic Thwack,"Beach Gun | Otherworldly Sceptre | Neon Laser Launcher"
ferrari812gtsfangirl,757608202,2025/02/18,77,5992,n,Angelic,Shine,Kooki the Kookaburra,Cupid's Arrow,"Winsome Wizard Wand | Laser Finger Pointers | Neon Laser Launcher | Panda Friend | Steampunk Zapper | Monster Friend | Roman Candle | Chocolate Milk | Saxophone | Clown Bomb | Snowman Gun | Ham Bone | Santa | Christmas Tree Launcher | Ghost Bag | Slush Cannon | Hand Cannon | Heart Balloon | Frisbee | RedBLOX | Basketball | Fire Extinguisher | Chocolate Bunny | Jack Frost | Slushie | Boba Tea | Frosty the Snowfriend | Ceramic Potion | Rolling Pin | Shade Potion | Mega Mallet | Soul Lantern | Snowball | Banana Peel | Disguise Watch | Decoy Deploy | Alpaca Plushie | The Christmas Creep | Bandit Dog | Protest: More Gear Nao | Ink Launcher | Bighead Potion | Stop Hitting Yourself | Cake | Director's Clapboard | Atmoblaster 777 | Gravity Gun | Tennis Racket | Red Stratobloxxer | Moonwalk Potion | Rainbow Fireworks | Valentine’s Throwing Stars | Bloxilicious Bubble Gum | Victrola | Green Epicsauce | Noob Pop | R-80 | Monster Mash | Berry Sweet Boba | Ultra-Flat Spray Paint | Skeleton Foam Finger | Winter Snowfall | Rat Plague Summoner | Chimp Friend | Bloxxy Radar | Magical Umbrella | Smashing Drum | Staff of Neverending Frost | Pumpkin Gun | Science Project: Volcano | Cymbals | Hot Chocolate | Double Cheezburger | Bag O' Noobs | Protest Sign: Pro Fake Mustache | Pool Noodle | Skele-tar | Roblox Snowglobe | Speech Bubble | Present Basket | Selfie Stick | Boomerang | Starfish | Protest Sign: Save the Noobs | Christmas Cookie | Snowball Launcher | Annoying Elf | Nunchucks | Pom-Poms | Megaphone"
ecstasly,453912638,2024/05/10,77,5991,y,,,,,"Spider Flinger | Shark Launcher | Carnagecopia | Monster Friend | Ink Launcher | Sign: This Is NOT Epic | Liberty Torch | Megagavel | Bighead Potion | Exploding Heart | Clown Bomb | Staff of Neverending Frost | Big Flower | Christmas Tree Launcher | Festive Plungers | Slush Cannon | Slurpee | Speech Bubble | Witches Brew | Bloxilicious Bubble Gum | Bandit Dog | Disguise Watch | Vine Staff | Pumpkin Staff | Beehive | Annoying Elf | Mega Mallet | Squid Launcher | Confetti Cannon | Tom's Beans | Red Pirate Juice | Lightning Wand | Magical Umbrella | Pest Hammer | Pumpkin Gun | Selfie Stick | Pinata Bat | Cherry Pie | Love Hurts Ray Gun | Giant Ninja Star | Metal Guitar | Green Epicsauce | R-80 | Punk Wrist Cuff | Snowball Launcher | Halloween Sparkler | Necromancer Staff | Spell Book of Ice Cold Revenge"
JoFoShoYo,1070180724,2024/10/23,77,5991,n,Girly,,Blorb,Drop Stars,"Alpaca Plushie | Protest Sign: Noobs | Pest Hammer | Tambourine"
Kitzz,106567681,2024/09/24,77,5991,y,GOD,,,Lightning,"Fake C4 | Chicken Gun | Ink Launcher | Science Project: Potato | Starfish | Otherworldly Sceptre | Mega Mallet | Soul Lantern | Clown Gun"
XR3_DX,448782320,2024/12/11,77,5990,y,Cozy,Festive Tree,Rudolph the Reindeer,Top of Tree,"Seranok's Golden Chalice of Fame | Pumpkin Staff | Alpaca Plushie | Game Studio Executive Briefcase | Mega Mallet | Festive Plungers | Stop Hitting Yourself | Slush Cannon | Ink Launcher"
NoMore_GlobalWarming,1956762224,2024/10/11,77,5990,n,Untouchable,Zany Trail,Airborne Bear,Lightning,"Laser Finger Pointers | Neon Laser Launcher | Chicken Gun | Frying Pan | Alpaca Plushie | Compass | Carnagecopia | Bandit Dog | Egg Locater | Otherworldly Sceptre | Ink Launcher | Liberty Torch | Noise Maker | Epic Popper | Chocolate Milk | Saxophone | Stop Hitting Yourself | Dragon Plushie | Waffle | Clown Bomb | Blueberry Pie | Ham Bone | Tambourine | Space Sandwich | Crab Horde | Santa | Big Flower | The Celebrator | Ghost Potion | Shark Launcher | Bighead Potion | Hedgehog Friend | Epiczza | Bug Net | Cowbell | Watermelon | Bloxilicious Bubble Gum | Ancient Firecracker | Latke | Goblet | Whoopee Cushion | Foam Finger | Lightblox Jar | Witches Brew | RedBLOX | Basketball | Ticket Launcher | Rolling Pin | Chocolate Bunny | Red Balloon | Chimp Friend | Metal Detector | Robo Companion | Ice Cream | Staff of the Woodlands | Teddy Bloxpin | Monster Mash | Torch | Squid Launcher | Starblox Latte | Tom's Beans | Smore | Frost Potion | Pizza | Yellow Card | Taco | AFK Sign | Paint Grenade | Egg Hammer | Magical Umbrella | Pirate Juice | Noob Hot Chocolate | Pest Hammer | Party Horn | Bloxxy Radar | Killer Whale Launcher | Eggstaff | Cymbals | Pinata Bat | Double Cheezburger | Fortune Telling Eight Ball | Skele-tar | Protest Sign: Eggs are for eating | Piggybank | Cherry Pie | Marshmallow Chirp | Giant Ninja Star | Bloxiade | Science Project: Volcano | Noob Pop | Speech Bubble | The Fiery Sun | Wooden Sword | Selfie Stick | Police Badge | Face Off Potion | R-80 | Green Epicsauce | Flute | Bugle | Flower Feet | Spinning Robot Helmet | Director's Clapboard | Tiger Warrior Club | Ra'k Guitar | Rainbow Fireworks"
MarshallKing123,814693096,2024/08/04,77,5988,n,Survivor,Blue flame,Redrune Raider,Terminate,""
nuteller100,843787199,2024/10/13,77,5987,n,Loser,Vortex,Raincoat Duck,Terminate,"Item of Sentiment | Carnagecopia | Bacon Frying Pan | Megagavel | Stop Hitting Yourself | Killer Whale Launcher | Selfie Stick | Big Stick | Dragonshead Cannon | Lightblox Jar"
Angerala3kk,1366399988,2025/01/01,77,5986,n,Emo,Red Virus,Little Penguin,Gravestone,"Neon Laser Launcher | Haunted Pizza | Chicken Gun | Alpaca Plushie | Item of Sentiment | Bacon Frying Pan | Eggshot | Egg Locater | Otherworldly Sceptre | Ink Launcher | Exploding Heart | Cake | Director's Clapboard | Staff of Neverending Frost | Crab Horde | Chick Horde | Big Flower | Starfish | Ghost Bag | Frosted Santa | Snowball | Slush Cannon | Hand Cannon | Shuriken | Protest Sign: Pro Fake Mustache | Halloween Sparkler | Cursed Mummy Friend | Zombie Protest Sign | Bandit Dog | Police Badge | Ticket Launcher | Sonic Boom Tuba | Soul Lantern | Mega Mallet | Green Epicsauce | Spider Flinger | EPIC Stamper | Christmas Cookie | R-80 | Magical Umbrella | Skeleton Foam Finger | Winter Snowfall | Speech Bubble | Metal Guitar | Snowball Cannon | Bauble Detector | Pumpkin Gun | Pizza | Red Foam Finger | AFK Sign | Science Project: Volcano | Egg Hammer | Protest Sign: Save the Noobs | Giant Ninja Star | Bouquet of Pain Throwing Stars | Pest Hammer | Slushie | Cherry Pie | Hot Chocolate | Big Stick | Earth Horn | Skele-tar | Bag O' Noobs | Inflatable Saxophone | Pink Coconut Drink | Frosty the Snowfriend | Teddy Bloxpin | Flower Crossbow | Roblox Snowglobe | Red Balloon | The Fiery Sun | Red Pirate Juice | Selfie Stick | Ancient Firecracker | Hedgehog Friend | Punk Wrist Cuff | Watermelon | Sign: This Is Epic | Epiczza | Pom-Poms | Tiger Warrior Club | Ra'k Guitar | Rainbow Fireworks"
Sarcastic_Duckie,77979318,2024/10/20,77,5985,n,Alien,Chickens,Bunny Egg,The Claw,"Beach Staff | Bacon Frying Pan | Big Flower | Staff of the Woodlands | Red Stratobloxxer | Green Epicsauce | Silly Guitar | AFK Sign | Megagavel | Ink Launcher | Magical Umbrella | TOMATOES! | Soul Lantern | Pest Hammer | Saxophone | Pumpkin Gun"
punnkyn,17760941,2024/07/21,77,5984,n,,,,Zero Gravity Ragdoll,"Skull Gun | RedBLOX | Green Epicsauce | Sign: This Is NOT Epic | Disguise Watch | Megagavel | Bighead Potion | Clown Gun | Staff of the Woodlands"
cavemist,659039933,2025/02/05,77,5982,n,Bold,,Rat,Disco,"Stop Hitting Yourself | Cymbals | Moneybag | Protest Sign: Noobs | Dragonshead Cannon | Monster Mash | Pest Hammer | Lucky Harp | Staff of the Woodlands"
noctunez,493941471,2024/08/17,77,5980,y,Nametag,,Scorch the Ever Faithful,Zero Gravity Ragdoll,"Bugle"
RubyTheHobbit,2881515862,2024/09/21,77,5980,n,Virtuoso,Fairy Wings,Little Kangaroo,The Claw,"Item of Sentiment | AFK Sign | Slingshot | Bloxxy Radar | Science Project: Volcano | Piggybank | Stop Hitting Yourself | Staff of the Woodlands | Selfie Stick"
josiahand,32294611,2025/01/08,77,5979,n,,,Doge,Ragdoll,"Bauble Detector | Staff of the Woodlands | Snowball Cannon"
bz8z,1260962126,2024/04/20,77,5979,n,Boss,,,Balloon,"Lucky Harp | Noob Hot Chocolate | Pest Hammer | Staff of the Woodlands | Pinata Bat | Earth Horn | Vine Staff | Selfie Stick | Slush Cannon | Clown Gun | Ra'k Guitar"
affxctiion,252362873,2025/01/16,77,5978,y,Nametag,Wisps,Bunny Egg,Zero Gravity Ragdoll,"Megagavel | Stop Hitting Yourself | Protest Sign: Noobs | Pumpkin Gun"
iiSxturq,468779105,2024/04/17,77,5976,y,Fragrant,,,Disconnect,"Laser Finger Pointers | Jingle Bell Launcher | Annoying Elf | Rainbow Fireworks | Shark Launcher | The Christmas Creep | Monster Friend | Fireworks | Pom-Poms | Sign: This Is NOT Epic | Megagavel | Bighead Potion | Egg Beater | Epic Popper | Dragon Plushie | Saxophone | TypicalToype | Punk Wrist Cuff | Cake | Pumpkin Bucket | Chick Horde | Tennis Racket | Ghost Bag | Metal Guitar | Shuriken | Festive Plungers | Bucket | Slurpee | Whoopee Cushion | Misfortune Cookie | Item of Sentiment | Lightblox Jar | Marshmallow Chirp | Boba Tea | Noob Pop | Robo Companion | Skeleton Foam Finger | Squid Launcher | Monster Mash | RAIG Table | Sakura Parasol | Pumpkin Gun | Jack Frost | Slushie | Double Cheezburger | Skele-tar | Fortune Cookie | Love Hurts Ray Gun | Slush Cannon | Teddy Bloxpin | Winter Snowfall | Selfie Stick | 2019 Fireworks | Protest Sign: Noobs | Big Pink Daisy | Jingle Bells"
ImDezett,1589989361,2024/04/28,77,5976,n,uhhactually,Love Aura,,Lovely Explosion,"Pumpkin Gun | Mega Mallet | Clown Gun"
Ti_Zabivnoy,2848077529,2024/12/21,77,5974,n,Claus,Snow Trail,Polygonal Snowman,The Claw,"Snowball Cannon | Bauble Detector"
tiedwithribbon,516033080,2024/12/28,77,5974,y,Santa title,Love Aura,Cheerful Reindeer,Baublify,"Winsome Wizard Wand | Laser Finger Pointers | Neon Laser Launcher | Panda Friend | Kunai | Carnagecopia | Monster Friend | iLift Three | Epic Popper | Chocolate Milk | Saxophone | Yellow Snowball | Pumpkin Bucket | Halloween Sparkler | Ham Bone | Bundle of TNT | Chick Horde | Big Flower | Staff of Sparks | Ghost Bag | Bunch of Balloons | Shuriken | Hand Cannon | Cursed Mummy Friend | Frisbee | Witches Brew | RedBLOX | Protest Sign: Pro Fake Mustache | Misfortune Cookie | April Showers | Chocolate Bunny | TOMATOES! | Marching Drum | 8-Bit Ninja Stars | Bauble Detector | Egg Hammer | Torch | Pest Hammer | Magic Dragon | Fortune Telling Eight Ball | Skele-tar | Big Stick | Boba Tea | Love Hurts Ray Gun | Frosty the Snowfriend | Chocolate Gelt | Metal Guitar | Mega Mallet | Punk Wrist Cuff | Personal Fighter Jets | Jingle Bells | Crossbow | Snowball | Spider Flinger | Disguise Watch | Apple Pie | Shark Launcher | The Christmas Creep | ROBAR eXtreme Chocolate Crunch | Ink Launcher | Liberty Torch | Noise Maker | Egg Beater | Throwing Bolts | Breath of Ice | Cake | A Very Special Monster | Slushie | Sea Sorcerer Staff | Spell Book of Ice Cold Revenge | Director's Clapboard | Bag O Christmas Tree Seeds | Staff of Neverending Frost | Tambourine | Jack Frost | Ceramic Potion | Victrola | Shrunken Head | Tennis Racket | Bugle | Flute | Rainbow Fireworks | Basketball | Latke | Game Studio Executive Briefcase | Stardust Mooncaster | Selfie Stick | Goblet | Green Epicsauce | Slurpee | Boomerang | Zombie Protest Sign | Lightblox Jar | Hot Dog | Bloxilicious Bubble Gum | Police Badge | Ghost Potion | Annoying Elf | Protest Sign: Save the Noobs | Neon Throwing Stars | Cherry Pie | Soul Lantern | EPIC Stamper | Ice Cream | Skeleton Foam Finger | Starblox Latte | Smore | Hot Chocolate | Lollipop Cat | Snowball Cannon | Red Pirate Juice | Slush Cannon | Sparkler | Pumpkin Gun | Science Project: Volcano | Taco | Electric Blue | Bonk Bat | Sakura Parasol | Magical Umbrella | The Celebrator | Anubis Staff | Waffle | Santa | Staff of the Woodlands | Rolling Pin | War Rocks | Cymbals | Pinata Bat | Eggstaff | Starfish | Christmas Cookie | Whoopee Cushion | Noob Pop | Beast Claws | Protest Sign: Eggs are for eating | R-80 | Teddy Bloxpin | Crowbar | Roblox Snowglobe | Speech Bubble | Super Slash Cat Claws | Protest Sign: Blame John | Spook Launcher | Ancient Firecracker | Marshmallow Chirp | Clown Bomb | Watermelon | Protest Sign: Noobs | Banjo | Haunted Pizza | Roman Candle | Tiger Warrior Club | Chicken Gun | Caltrops"
sofidhafnev,801408045,2024/12/30,77,5972,n,Cold,Global Snowglobe,Frigid Fox,Top of Tree,"Epicsauce | Laser Finger Pointers | Super Slash Cat Claws | Love Hurts Ray Gun | Alpaca Plushie | Bauble Detector | Bighead Potion | Item of Sentiment | Torch | Shade Potion | Staff of the Woodlands"
cvplyyx,1710468073,2024/09/24,77,5972,y,.,Black sparkles,The Lapin Twins,Zero Gravity Ragdoll,"Flower Crossbow"
dantdmfan1234858,254162771,2024/12/17,77,5972,n,,,,Zero Gravity Ragdoll,"Snowball Cannon | Pest Hammer"
xXloffciamyjuuzouXx,151941588,2025/02/07,77,5972,y,,Glint in My Eye,Flying Angel,Zero Gravity Ragdoll,"Alpaca Plushie | BANG! | Otherworldly Sceptre | Flower Feet | Stop Hitting Yourself | Limb Stretching Spell | Annoying Elf | Super Slash Cat Claws"
Y3nn_ie,3694626601,2024/05/04,77,5968,y,Nametag,Golden Rays,Oven Monster,Abduct,"Throwing Barrel | Cymbals | Bonk Bat | Green Epicsauce | Clown Bomb"
crystalll321,106045204,2024/07/26,77,5968,n,Wealthy,Epic faces,Rainbow Phoenix,Abduct,"Witches Brew | RedBLOX | Basketball | Disguise Watch | EPIC Stamper | Noob Pop | Dance Potion | Compass | Chick Horde | Squid Launcher | Latke | Tom's Beans | Egg Locater | Frying Pan | Pizza | Ice Cream | Taco | Hot Dog | Science Project: Volcano | Flower Feet | Magical Umbrella | Saxophone | Ancient Firecracker | Pest Hammer | Starblox Latte | Paint Grenade | Epicsauce | Cherry Pie | Cymbals | Watermelon | Dragon Plushie | Fortune Telling Eight Ball | Green Epicsauce | Big Stick | Piggybank | Smore | Marshmallow Chirp | Goblet | Space Sandwich | Crab Horde | Santa | Big Flower | Red Balloon | The Fiery Sun | Face Off Potion | Ultra-Flat Spray Paint | Red Stratobloxxer | R-80 | Rolling Pin | Bunch of Balloons | Ticket Launcher | Tambourine | Egg Hammer | Police Badge | Staff of the Woodlands | Chocolate Milk | Throwing Spork | Chicken Gun"
cupidvity,78822818,2024/11/12,77,5968,n,bearface,Global Snowglobe,Crow,Abduct,"Item of Sentiment | Pest Hammer | The Christmas Creep"
userissleeping1,5629541062,2025/02/09,77,5964,n,,,,Ghost,"Megagavel | Stop Hitting Yourself | Pest Hammer"
El_duEndecatacunbaz,4444054368,2024/12/08,77,5964,n,,,Kawaii Cat,Bird of Prey,"Ghost Potion | Stop Hitting Yourself"
difectui,4423654987,2024/11/04,77,5963,y,Nametag,Halo,Little Python,Lovely Explosion,"Hedgehog Friend | Ham Bone | Powerful Paintbrush | Noob Hot Chocolate | Frying Pan | Atmoblaster 777 | Sign: This Is Epic | AFK Sign | Pumpkin Gun"
ILoveEIisa,1936828369,2025/01/12,77,5963,n,Eggionaire,,Haunted Cheezburger,Shatter,"Monster Friend | A Very Special Monster | Ghost Bag | Soul Lantern | Halloween Sparkler | Pumpkin Bucket | Exploding Heart | Haunted Pizza | Eggstaff | Skeleton Foam Finger | Cursed Mummy Friend | Pizza"
Sunspxts,8866543,2025/02/17,77,5961,y,,,,,"Double Cheezburger | Otherworldly Sceptre | Saxophone | Staff of the Woodlands | Cowbell"
Obquiist,1018785671,2024/10/23,77,5960,n,Popular,,,Balloon,"Soul Lantern | AFK Sign | Staff of the Woodlands"
onlyebany,4532399294,2025/02/19,77,5959,n,Sweet,Flowers,Airborne Bear,Ascend,""
thefriendsong,389541700,2024/11/14,77,5953,n,,,,Disconnect,"Big Pink Daisy | Instant Snowman | Stitch Bunny | Clown Gun | Heart Balloon | Festive Teddy | Misfortune Cookie | Chocolate Bunny | Skeleton Foam Finger | Jack Frost | 4-String Roblocaster | Chocolate Gelt | Mega Mallet | 2018 Fireworks | ROBAR eXtreme Chocolate Crunch | Megagavel | Egg Beater | Overseer Teddy | Shrunken Head | A Very Special Monster | Boba Tea | Fortune Cookie | Cupcake Launcher | The Celebrator | Korblox Deathspeaker's Spell Book | Festive Plungers | Stardust Mooncaster | Bobo the Picnic Bear | TypicalToype | Poison Picnic | Lucky Harp | Pink Coconut Drink | Turkey Leg | Snowman Gun | Fluffy Bunny | Microphone | Lollipop Cat | Double Cheezburger | Skelefriend | Sakura Parasol | Party Horn | Pumpkin Gun | Bag O' Noobs | Helen The Hiphipapotamus | Chepi the Mushroom Cat | Bucket | Necromancer Staff"
LightWDark,153607276,2024/10/31,77,5951,n,Overseer,,Lil Obsy,Comic Thwack,"Misfortune Cookie | Spider Flinger | Disguise Watch | Noob Pop | TOMATOES! | Item of Sentiment | Carnagecopia | Squid Launcher | Egg Locater | Otherworldly Sceptre | Ink Launcher | Sign: This Is NOT Epic | Megagavel | Egg Hammer | Magical Umbrella | Pest Hammer | Slushie | Pumpkin Gun | Dragonshead Cannon | Pinata Bat | Bauble Staff | Pumpkin Bucket | Sign: This Is Epic | Ham Bone | Crab Horde | Chick Horde | Big Flower | The Celebrator | Killer Whale Launcher | 2019 Fireworks | Protest Sign: Noobs | Green Epicsauce | Ghost Bag | Soul Lantern | Ticket Launcher | Slush Cannon | Clown Gun | Clown Bomb | Metal Guitar | Stop Hitting Yourself | Shark Launcher | Fake C4"
cohffin,118129918,2025/01/26,77,5951,y,Nametag,,,Comic Thwack,"Stop Hitting Yourself | Alpaca Plushie | Steampunk Zapper | Otherworldly Sceptre | Mega Mallet | Dragonshead Cannon | Moneybag"
L1turges,1794109413,2025/02/01,77,5951,n,Princess,,,Comic Thwack,"Big Stick"
Electrovich,1237485315,2025/01/21,77,5950,y,,,,Eggify,"Laser Finger Pointers | Snowball | Panda Friend | Haunted Pizza | Disguise Watch | Icicle Cannon | Apple Pie | Dance Potion | Compass | Eggshot | Annoying Elf | Goblet | Item of Sentiment | Halloween Sparkler | Noise Maker | Throwing Spork | Jingle Bells | Stop Hitting Yourself | Chocolate Milk | Saxophone | Blueberry Pie | Epicsauce | Protest Sign: Noobs | Watermelon | Cake | A Very Special Monster | Flower Feet | Waffle | Pumpkin Bucket | Bug Net | Cowbell | Face Off Potion | Tambourine | Space Sandwich | Green Epicsauce | Santa | Big Flower | Tennis Racket | Drone | Didgeridoo | Skeleton Foam Finger | Moonwalk Potion | Ghost Bag | Bunch of Balloons | Lightblox Jar | Roblox Snowglobe | Misfortune Cookie | Teddy Bloxpin | Spray Paint | Cherry Pie | Zombie Protest Sign | Witches Brew | Bloxilicious Bubble Gum | Basketball | Fake C4 | April Showers | Foam Finger | Christmas Cookie | Smore | Throwing Barrel | 8-Bit Ninja Stars | Ice Cream | Taco | Marching Drum | Monster Mash | Torch | Magical Umbrella | Hot Chocolate | Red Pirate Juice | Magic Dragon | Frost Potion | Pizza | Red Foam Finger | Chameleon Potion | Metal Detector | Slushie | Sparkler | Hot Dog | Pirate Juice | Bonk Bat | Moneybag | Starblox Latte | Staff of the Woodlands | Dragonshead Cannon | Bloxxy Radar | Cymbals | Magical Horseshoe | Eggstaff | Fortune Telling Eight Ball | Chimp Friend | Tom's Beans | Silly Guitar | Protest Sign: Eggs are for eating | Marshmallow Chirp | Giant Ninja Star | Bloxiade | Fire Extinguisher | RedBLOX | Metal Guitar | Rolling Pin | Whoopee Cushion | Wooden Sword | Ultra-Flat Spray Paint | Selfie Stick | Ancient Firecracker | Latke | R-80 | Flute | Bugle | Clown Bomb | Spinning Robot Helmet | Pom-Poms | BANG! | Slingshot | Caltrops"
WhosDLP,1344108474,2024/07/24,77,5950,y,)-:,Zzzz,Owen the Orca,Comic Thwack,"Laser Finger Pointers | Neon Laser Launcher | Haunted Pizza | Christmas Tree Lights | Alpaca Plushie | Steampunk Zapper | Monster Friend | iLift Three | Otherworldly Sceptre | Ink Launcher | Stop Hitting Yourself | Chicken Gun | Beach Gun | Sea Sorcerer Staff | Pumpkin Bucket | Halloween Sparkler | Snowman Gun | Crab Horde | Chick Horde | Starfish | Green Epicsauce | Moonwalk Potion | Ghost Bag | Moneybag | Clown Gun | Mega Mallet | Heart Balloon | Spray Paint | Cursed Mummy Friend | Witches Brew | Fake C4 | April Showers | Skelefriend | Noob Pop | Squid Launcher | Party Horn | Marshmallow Chirp | Science Project: Volcano | Chameleon Potion | Protest Sign: Touch Grass | RAIG Table | Anubis Staff | Pest Hammer | Magic Dragon | Paint Grenade | Dragonshead Cannon | Staff of the Woodlands | Cymbals | Disguise Watch | Inflatable Saxophone | Pumpkin Gun | Pink Coconut Drink | Giant Ninja Star | Teddy Bloxpin | Monster Mash | Didgeridoo | Fire Extinguisher | Game Studio Executive Briefcase | Latke | Soul Lantern | Flute | Protest Sign: Noobs | Item of Sentiment | Personal Fighter Jets | Necromancer Staff | BANG! | Ra'k Guitar | Rainbow Fireworks"
Jime_val14,1375432041,2024/10/18,77,5949,n,,,Arctic Wolf,Ascend,"Snowman Gun | Otherworldly Sceptre | Megagavel"
Imtatii,363002465,2024/07/07,77,5949,n,,,,,"Stop Hitting Yourself"
NataliaOreiro86,3105861048,2025/01/07,77,5948,n,Seasoned,,Tiny Elephant,,"RedBLOX | Cymbals | R-80 | Bunch of Balloons | Cherry Pie | Hot Dog | Tambourine | Bloxiade | Chocolate Milk | Saxophone | Basketball"
S1CK4NGEL,156841258,2025/01/09,77,5945,n,Kawaii,Funny Bone,,Curse,"RedBLOX | Snowball | Haunted Pizza | Throwing Barrel | TOMATOES! | Item of Sentiment | Bauble Detector | Protest Sign: Touch Grass | Slingshot | Magical Umbrella | Chocolate Milk | Saxophone | Stop Hitting Yourself | Eggstaff | Fortune Telling Eight Ball | Tambourine | Rolling Pin | Wooden Sword | Red Stratobloxxer | Green Epicsauce | War Rocks | Soul Lantern | Moneybag | Monster Mash | Necromancer Staff | Heart Balloon | Chocolate Bunny"
euvqau,3793270030,2024/12/27,77,5945,n,Disestablishmentarianist,Festive Lights Trail,Yeti,The Claw,"Winsome Wizard Wand | Laser Finger Pointers | Baseball Bat | Neon Laser Launcher | Panda Friend | Chicken Gun | Kunai | Carnagecopia | Bacon Frying Pan | Monster Friend | Hedgehog Friend | Flower Feet | Epic Popper | Saxophone | Yellow Snowball | Epicsauce | Dragon Plushie | Clown Bomb | Halloween Sparkler | Ham Bone | Protest Sign: Egg Hunt Nao | Chick Horde | Big Flower | Christmas Tree Launcher | Ghost Bag | Shuriken | Cursed Mummy Friend | Frisbee | Beach Staff | RedBLOX | Basketball | Misfortune Cookie | Chocolate Bunny | TOMATOES! | Skeleton Foam Finger | Squid Launcher | Bauble Detector | Frost Potion | Yellow Card | Jack Frost | War Rocks | Noob Hot Chocolate | Pest Hammer | Slushie | Paint Grenade | Fortune Telling Eight Ball | Skele-tar | Big Stick | Silly Guitar | Protest Sign: Eggs are for eating | Frosty the Snowfriend | Ceramic Potion | Rolling Pin | The Fiery Sun | Confetti Cannon | Nunchucks | Soul Lantern | Ticket Launcher | Jingle Bells | Touchdown Football | Jingle Bell Launcher | Snowball | PE Whistle | Spider Flinger | Disguise Watch | Icicle Cannon | Alpaca Plushie | Shark Launcher | The Christmas Creep | Brighteyes's Sparkling Shillelagh | Eggshot | Ink Launcher | Sign: This Is NOT Epic | Noise Maker | Stop Hitting Yourself | Breath of Ice | A Very Special Monster | Director's Clapboard | Staff of Neverending Frost | Tambourine | RoVacuum | Slurpee | Snowman Gun | Whoopee Cushion | Poison Picnic | Zombie Protest Sign | Spell Book of Ice Cold Revenge | Banjo | 8-Bit Ninja Stars | Red Foam Finger | Starfish | Noob Pop | Shrunken Head | Robo Companion | Christmas Cookie | Santa | Egg Hammer | Neon Throwing Stars | Inflatable Saxophone | Selfie Stick | Snowball Cannon | Moneybag | Ghost Potion | Chimp Friend | Shade Potion | AFK Sign | Protest Sign: Pro Fake Mustache | Pumpkin Bucket | Magical Umbrella | Witches Brew | Science Project: Volcano | Party Horn | Science Project: Potato | Hot Chocolate | Cymbals | Bundle of TNT | Double Cheezburger | Boomerang | Boxing Glove Launcher | Eggstaff | Cherry Pie | Pool Noodle | Red Balloon | Teddy Bloxpin | Retro Candy | Flower Crossbow | Roblox Snowglobe | Speech Bubble | Winter Snowfall | Red Pirate Juice | Ultra-Flat Spray Paint | Item of Sentiment | Roman Candle | Haunted Pizza | Annoying Elf | Protest Sign: Noobs | Sign: This Is Epic | Meteor Staff | Pom-Poms | Frosted Santa | Protest Sign: Save the Noobs | Rainbow Fireworks"
mth1228,446651878,2024/09/08,77,5944,n,Competitive,Roblox logos,Motley Parrot,Gravestone,"Paint Grenade | Goblet | Bauble Staff | Pest Hammer | Item of Sentiment | Egg Hammer | Snowball Launcher | Egg Locater | Selfie Stick | Otherworldly Sceptre | Face Off Potion | Metal Detector | Big Flower | Slush Cannon | Slurpee | Spray Paint"
